"Date and Time";"ec_state";"EC da água";"Médai do EC";"Hora lig 1";"Hora lig 2";"Hora lig 3"
"2025-10-12 00:57:33";"5";"1,53";"1,48";"0";"0";"0"
"2025-10-12 00:47:33";"5";"1,52";"1,48";"0";"0";"0"
"2025-10-12 00:37:33";"5";"1,52";"1,48";"0";"0";"0"
"2025-10-12 00:27:33";"5";"1,51";"1,48";"0";"0";"0"
"2025-10-12 00:17:33";"5";"1,52";"1,48";"0";"0";"0"
"2025-10-12 00:07:33";"5";"1,52";"1,48";"0";"0";"0"
"2025-10-11 23:57:33";"5";"1,52";"1,48";"0,23";"0,23";"0"
"2025-10-11 23:47:33";"5";"1,52";"1,48";"0,23";"0,23";"0"
"2025-10-11 23:37:33";"5";"1,52";"1,48";"0,23";"0,23";"0"
"2025-10-11 23:27:33";"5";"1,52";"1,48";"0,23";"0,23";"0"
"2025-10-11 23:17:33";"5";"1,52";"1,48";"0,23";"0,23";"0"
"2025-10-11 23:07:33";"5";"1,53";"1,48";"0,23";"0,23";"0"
"2025-10-11 22:57:33";"5";"1,52";"1,48";"0,23";"0,23";"0"
"2025-10-11 22:47:33";"5";"1,52";"1,48";"0,23";"0,23";"0"
"2025-10-11 22:37:33";"5";"1,52";"1,48";"0,23";"0,23";"0"
"2025-10-11 22:27:33";"5";"1,52";"1,48";"0,23";"0,23";"0"
"2025-10-11 22:17:33";"5";"1,52";"1,48";"0,23";"0,23";"0"
"2025-10-11 22:07:33";"5";"1,52";"1,48";"0,23";"0,23";"0"
"2025-10-11 21:57:33";"5";"1,52";"1,48";"0,23";"0,23";"0"
"2025-10-11 21:47:33";"5";"1,52";"1,48";"0,23";"0,23";"0"
"2025-10-11 21:37:33";"5";"1,52";"1,48";"0,23";"0,23";"0"
"2025-10-11 21:27:33";"5";"1,51";"1,48";"0,23";"0,23";"0"
"2025-10-11 21:17:33";"5";"1,51";"1,48";"0,23";"0,23";"0"
"2025-10-11 21:07:33";"5";"1,51";"1,48";"0,23";"0,23";"0"
"2025-10-11 20:57:33";"5";"1,51";"1,48";"0,23";"0,23";"0"
"2025-10-11 20:47:33";"5";"1,51";"1,48";"0,23";"0,23";"0"
"2025-10-11 20:37:33";"5";"1,51";"1,48";"0,23";"0,23";"0"
"2025-10-11 20:27:33";"5";"1,51";"1,48";"0,23";"0,23";"0"
"2025-10-11 20:17:33";"5";"1,51";"1,48";"0,23";"0,23";"0"
"2025-10-11 20:07:33";"5";"1,51";"1,48";"0,23";"0,23";"0"
"2025-10-11 19:57:33";"5";"1,51";"1,48";"0,23";"0,23";"0"
"2025-10-11 19:47:33";"5";"1,5";"1,48";"0,23";"0,23";"0"
"2025-10-11 19:37:33";"5";"1,5";"1,48";"0,23";"0,23";"0"
"2025-10-11 19:27:33";"5";"1,5";"1,48";"0,23";"0,23";"0"
"2025-10-11 19:17:33";"5";"1,49";"1,48";"0,23";"0,23";"0"
"2025-10-11 19:07:33";"5";"1,49";"1,48";"0,23";"0,23";"0"
"2025-10-11 18:57:33";"5";"1,49";"1,48";"0,23";"0,23";"0"
"2025-10-11 18:47:33";"5";"1,49";"1,48";"0,23";"0,23";"0"
"2025-10-11 18:37:33";"5";"1,48";"1,48";"0,23";"0,23";"0"
"2025-10-11 18:27:33";"5";"1,48";"1,48";"0,23";"0,23";"0"
"2025-10-11 18:17:33";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-11 18:07:33";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-11 17:57:33";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-11 17:52:42";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-11 17:47:33";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-11 17:37:33";"5";"1,47";"1,48";"0,23";"0,23";"0"
